City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
277,Rochegda,RU,62.8,43.25,63.48,64,0,4.9,clear sky
278,Clyde River,CA,70.4692,-68.5914,39.43,75,90,14.97,overcast clouds
279,Palana,RU,59.1167,159.9667,47.59,96,100,2.17,light rain
280,Changji,CN,44.0167,87.3167,74.19,38,0,6.71,clear sky
281,Geraldton,AU,-28.7667,114.6,55.81,94,100,9.22,overcast clouds
282,Zhezkazgan,KZ,47.8043,67.7144,76.5,40,12,3.94,few clouds
283,Coihaique,CL,-45.5752,-72.0662,45.21,70,90,11.5,light intensity shower rain
284,Colac,AU,-38.3333,143.5833,47.43,95,100,5.93,overcast clouds
285,Tautira,PF,-17.7333,-149.15,71.62,84,100,27.04,moderate rain
286,Kensington,AU,-33.9167,151.2167,48.04,80,20,8.05,few clouds
287,Lichinga,MZ,-13.3128,35.2406,57.29,82,0,11.5,clear sky
288,Constitucion,CL,-35.3333,-72.4167,60.39,48,0,11.59,clear sky
289,Drumheller,CA,51.4617,-112.7101,67.33,63,100,1.14,overcast clouds
290,Airai,TL,-8.9266,125.4092,55.8,72,97,3.18,overcast clouds
291,Dargaville,NZ,-35.9333,173.8833,55.58,88,45,14.72,scattered clouds
292,La Ronge,CA,55.1001,-105.2842,55.62,87,90,8.05,smoke
293,Bambous Virieux,MU,-20.3428,57.7575,71.22,73,40,11.5,scattered clouds
294,Muroto,JP,33.2833,134.15,77.9,89,87,11.41,overcast clouds
295,Goma,CD,-1.6792,29.2228,66.13,72,100,1.41,overcast clouds
296,Kudahuvadhoo,MV,2.6708,72.8944,82.06,76,28,9.69,scattered clouds
297,Faanui,PF,-16.4833,-151.75,77.22,77,100,21.27,light rain
298,Shaunavon,CA,49.6501,-108.4181,78.58,25,26,7.63,scattered clouds
299,Roblin,CA,51.23,-101.3565,90.54,33,5,8.19,clear sky
300,Filadelfia,US,39.9523,-75.1638,81.14,68,90,5.01,overcast clouds
301,Santa Lucia,ES,27.9117,-15.5407,73.76,57,0,26.46,clear sky
302,Sao Felix Do Xingu,BR,-6.6447,-51.995,97.68,20,24,4.59,few clouds
303,Doha,QA,25.2867,51.5333,93.09,75,20,14.97,few clouds
304,Vung Tau,VN,10.346,107.0843,80.49,77,100,15.28,overcast clouds
305,Teya,RU,60.3778,92.6267,56.35,96,100,3.09,light rain
